Average females per simulations :             3.75479537E7
Average males per simulations   :             3.754764943E7
Average deaths per simulations  :             3.256174041E7
Average population size per simulations :     7.509560313E7
Average births per simulations          :     5.752501618E7

Average % females per simulations. :     50.0%
Average % males per simulations.   :     50.0%

------------ SIMULATION -------------

(9,2175221)

(10,3678401)

(11,7879659)

(12,15729440)

(13,23648190)

(14,37926832)

(15,59472415)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,138)

(4,670)

(5,3420)

(6,16766)

(7,82985)

(8,415855)

(9,2075665)

(10,10375545)

(11,16340189)

(12,23200216)

(13,39083125)

(14,60112541)

(15,85979464)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,203)

(4,1100)

(5,5657)

(6,28783)

(7,145211)

(8,724899)

(9,3619016)

(10,6174619)

(11,13194389)

(12,26855805)

(13,39780713)

(14,63241579)

(15,93747156)
------------ SIMULATION -------------

(1,8)

(2,61)

(3,340)

(4,1833)

(5,9763)

(6,48905)

(7,243427)

(8,1214936)

(9,6065197)

(10,9531185)

(11,20989554)

(12,30692018)

(13,46624825)

(14,69774842)

(15,100229440)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,120)

(4,568)

(5,3038)

(6,15128)

(7,74848)

(8,374081)

(9,1868279)

(10,9331147)

(11,15489844)

(12,22061177)

(13,35981547)

(14,57731262)

(15,82193776)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,176)

(4,771)

(5,3831)

(6,18842)

(7,94279)

(8,472902)

(9,2369077)

(10,4009963)

(11,8376835)

(12,16979635)

(13,25707837)

(14,39969324)

(15,63370630)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,164)

(4,753)

(5,3706)

(6,18523)

(7,93611)

(8,469294)

(9,2342317)

(10,3742265)

(11,8145412)

(12,16050457)

(13,24206687)

(14,38303468)

(15,58355797)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,94)

(4,474)

(5,2677)

(6,13211)

(7,65065)

(8,323675)

(9,1617577)

(10,8085590)

(11,12821196)

(12,19071095)

(13,30714077)

(14,49227847)

(15,74371305)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,190)

(4,807)

(5,3983)

(6,19837)

(7,100294)

(8,501862)

(9,2507533)

(10,4237855)

(11,9188171)

(12,18618220)

(13,27672297)

(14,43024856)

(15,70821076)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,155)

(4,778)

(5,4103)

(6,19962)

(7,100802)

(8,505906)

(9,2529235)

(10,4051970)

(11,8936315)

(12,17453915)

(13,25784046)

(14,41463210)

(15,66244543)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,144)

(4,617)

(5,3197)

(6,15847)

(7,80099)

(8,400628)

(9,2001722)

(10,9999521)

(11,15880498)

(12,24266705)

(13,38260769)

(14,63567806)

(15,90793345)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,121)

(4,555)

(5,2680)

(6,13028)

(7,65008)

(8,327733)

(9,1639101)

(10,8184327)

(11,13470256)

(12,18598649)

(13,28571250)

(14,45217280)

(15,71136416)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,212)

(4,1038)

(5,5301)

(6,26745)

(7,134143)

(8,669453)

(9,3349059)

(10,5824970)

(11,12372310)

(12,25096602)

(13,36999133)

(14,57535666)

(15,81724979)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,190)

(4,927)

(5,4721)

(6,23659)

(7,119598)

(8,598763)

(9,2990697)

(10,5214919)

(11,10745901)

(12,21379261)

(13,33285017)

(14,51816647)

(15,77237814)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,256)

(4,1199)

(5,5933)

(6,29478)

(7,147359)

(8,735974)

(9,3678587)

(10,5910976)

(11,13118753)

(12,25245672)

(13,39595731)

(14,63483106)

(15,96559415)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,178)

(4,873)

(5,4571)

(6,22706)

(7,113622)

(8,569736)

(9,2855368)

(10,4483695)

(11,9637583)

(12,19056281)

(13,28156230)

(14,43534817)

(15,69850758)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,178)

(4,813)

(5,4195)

(6,21625)

(7,108645)

(8,543337)

(9,2717103)

(10,4572460)

(11,9849057)

(12,20386478)

(13,31153389)

(14,49982237)

